epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3337.5,0.78909,1.67022,0.95952,0.91756,0.86295,0.92876,0.76177,0.65338,1.25105,0.88882,0.00332508,0.00332508,0.00332508
2,5832.1,0.75592,0.83435,0.92544,0.93623,0.89966,0.95728,0.79204,0.65769,0.71143,0.89318,0.0065925,0.0065925,0.0065925
3,12400.3,0.82097,0.73436,0.9519,0.90177,0.91334,0.94954,0.77273,0.68767,0.67833,0.90582,0.00979391,0.00979391,0.00979391
4,17189.6,0.83021,0.68797,0.96418,0.92722,0.87882,0.95207,0.77831,0.70219,0.58832,0.91838,0.009703,0.009703,0.009703
5,21339.4,0.78735,0.62625,0.95032,0.92034,0.90878,0.96169,0.79849,0.66195,0.54787,0.90452,0.009604,0.009604,0.009604
6,24966.6,0.74554,0.57094,0.93653,0.94426,0.91448,0.96824,0.82083,0.62571,0.47652,0.88553,0.009505,0.009505,0.009505
7,29553.1,0.71889,0.54517,0.92648,0.9571,0.93444,0.97991,0.84145,0.6043,0.43043,0.87958,0.009406,0.009406,0.009406
8,33147.9,0.70627,0.52894,0.92307,0.94469,0.91334,0.96869,0.82907,0.61561,0.45901,0.88376,0.009307,0.009307,0.009307
9,36776.6,0.68647,0.51217,0.91694,0.94291,0.94165,0.98033,0.85106,0.57145,0.41388,0.8697,0.009208,0.009208,0.009208
10,40230.5,0.66798,0.49061,0.91167,0.94329,0.93957,0.97387,0.84481,0.56139,0.43332,0.87,0.009109,0.009109,0.009109
11,43484.8,0.65049,0.47172,0.90469,0.95891,0.93558,0.98378,0.86923,0.52649,0.37943,0.85829,0.00901,0.00901,0.00901
12,47125.9,0.64883,0.47359,0.90395,0.9514,0.9486,0.98195,0.86467,0.53206,0.384,0.85508,0.008911,0.008911,0.008911
13,50293.7,0.6385,0.46496,0.90058,0.96127,0.94806,0.98611,0.87235,0.51916,0.36136,0.85306,0.008812,0.008812,0.008812
14,53363.2,0.63259,0.45861,0.90041,0.95463,0.94773,0.98376,0.8747,0.51122,0.35542,0.8483,0.008713,0.008713,0.008713
15,56045.4,0.6193,0.43943,0.89724,0.95703,0.94698,0.98335,0.87494,0.49662,0.34988,0.848,0.008614,0.008614,0.008614
16,58759.8,0.6075,0.43548,0.8927,0.9586,0.94527,0.98374,0.87085,0.51723,0.36164,0.84971,0.008515,0.008515,0.008515
17,61370.7,0.59742,0.42564,0.88779,0.95275,0.95415,0.98516,0.8811,0.48827,0.34481,0.84688,0.008416,0.008416,0.008416
18,64084.2,0.60263,0.42996,0.88851,0.9639,0.95896,0.98751,0.89008,0.47861,0.32701,0.84329,0.008317,0.008317,0.008317
19,71136.3,0.59014,0.4214,0.88814,0.95663,0.95575,0.98557,0.88697,0.48328,0.33879,0.84084,0.008218,0.008218,0.008218
20,75244.8,0.58606,0.41159,0.88554,0.95546,0.95397,0.985,0.88536,0.48464,0.34135,0.84727,0.008119,0.008119,0.008119
21,1837.45,0.57568,0.40734,0.88068,0.97421,0.91163,0.95313,0.86292,0.48083,0.32934,0.84274,0.00802,0.00802,0.00802
22,3715.92,0.57219,0.39894,0.87977,0.96673,0.95211,0.98785,0.8965,0.46509,0.3129,0.83564,0.007921,0.007921,0.007921
23,8636.56,0.56341,0.40135,0.87739,0.96207,0.92645,0.96106,0.87625,0.43953,0.31203,0.83011,0.007822,0.007822,0.007822
24,12769.4,0.56116,0.3933,0.87724,0.95695,0.96319,0.98743,0.90594,0.44224,0.30092,0.8292,0.007723,0.007723,0.007723
